RECORD_TIME,RECORD_DATE,Pay_type,max_revenue,min_revenue
00:00:00,2020/08/30,1,2180.0,0.0
00:15:00,2020/08/30,0,1097.63,-545.0
00:45:00,2020/08/30,1,5450.0,0.0
00:30:00,2020/08/30,1,7739.0,0.0
00:15:00,2020/08/30,1,2180.0,0.0
00:30:00,2020/08/30,0,545.0,-545.0
00:45:00,2020/08/30,0,545.0,-545.0
00:00:00,2020/08/30,0,1642.63,-545.0
